jid,id,groups,title,description,audit,remediation,references
1.1.11,1.11,主机配置,确保为Docker文件和目录配置审计 - /etc/docker/daemon.json （Scored）,若文件存在，请审计 /etc/docker/daemon.json 文件。,验证是否有对应于/etc/docker/daemon.json文件的审核规则。例如，执行以下命令：`auditctl -l | grep /etc/docker/daemon.json` 这应该列出/etc/docker/daemon.json文件的规则。,在 /etc/docker/daemon.json 文件中添加一条规则。例如，在 /etc/audit/audit.rules 文件中添加以下行：- w /etc/docker/daemon.json -k docker，然后重新启动audit守护进程。例如，输入命令 service auditd restart 重新启动。,"https://access.redhat.com/documentation/en-US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html,https://docs.docker.com/engine/reference/commandline/dockerd/#daemon-configuration-file"
,1.12,主机配置,确保为Docker文件和目录设置审计 - /usr/bin/docker-containerd（Scored）,若文件存在，请审计/usr/bin/docker-containerd。,验证是否存在与/usr/bin/docker containerd文件相对应的审核规则。例如，执行以下命令：`auditctl -l | grep /usr/bin/docker-containerd` 这应该列出/usr/bin/docker containerd文件的规则。,请为 /usr/bin/docker-containerd 文件添加一条规则。例如，在 /etc/audit/audit.rules 文件中添加以下行：- w /usr/bin/docker-containerd -k docker，然后重启audit守护程序。例如，service auditd restart。,"https://access.redhat.com/documentation/en-US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html,https://github.com/docker/docker/pull/20662,https://containerd.tools/"
1.1.18,1.13,主机配置,确保为Docker文件和目录配置审计 - /usr/bin/docker-runc（Scored）,若文件存在，请审计/usr/bin/docker-runc的内容。,验证是否存在与/usr/bin/docker runc文件相对应的审核规则。例如，执行以下命令：`auditctl -l | grep /usr/bin/docker-runc` 这应该列出/usr/bin/docker runc文件的规则。,在/etc/audit/audit.rules文件中添加/usr/bin/docker-runc文件的规则。例如，在文件中添加以下行：-w /usr/bin/docker-runc -k docker。然后，重新启动audit守护进程。例如，执行service auditd restart命令。,"https://access.redhat.com/documentation/en-US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html,https://github.com/docker/docker/pull/20662,https://containerd.tools/,https://github.com/opencontainers/runc"
2.2,2.1,Docker守护程序配置,确保默认桥接中的容器之间的网络流量受限制（Scored）,默认情况下，在默认网络桥接中，同一主机上的容器之间允许所有网络流量。如果不需要，则应限制所有容器之间的通信。需要通信的特定容器可链接在一起。或者，您可以创建自定义网络，并仅将需要通信的容器加入到该自定义网络中。,"运行以下命令并验证是否已将默认网桥配置为限制容器间通信。
`docker network ls --quiet | xargs docker network inspect --format '{{ .Name }}: {{ .Options }}'`
它应该为默认网桥返回com.docker.network.bridge.enable_icc:false。",以守护程序模式运行Docker，并将--icc=false作为参数传递。例如，运行dockerd --icc=false命令。或者，可以按照Docker文档创建自定义网络，只加入需要通信的容器。如果使用自定义网络，则--icc参数仅适用于默认的Docker桥接网络，因此应采用网络分段的方法。,"https://docs.docker.com/engine/userguide/networking/,https://docs.docker.com/engine/userguide/networking/default_network/container-communication/#communication-between-containers"
2.3,2.2,Docker守护程序配置,"确保日志记录级别设置为""info""（Scored）",将Docker守护进程日志级别设置为info。,"`ps -ef | grep docker` 
 请确保--log级别参数不存在，或者如果存在，则将其设置为info。","请按照以下步骤运行 Docker 守护进程：输入命令 dockerd --log-level=""info""。",https://docs.docker.com/edge/engine/reference/commandline/dockerd/
2.4,2.3,Docker守护程序配置,确保Docker被允许对iptables进行更改（Scored）,Iptables用于在Linux内核中设置、维护和检查IP数据包过滤规则表。允许Docker守护进程对iptables进行更改。,"`ps -ef | grep dockerd` 
 请确保--iptables参数不存在或未设置为false。",请不要使用--iptables=false参数来运行Docker守护进程。例如，不要使用下面的命令来启动Docker守护进程：dockerd --iptables=false。,"https://docs.docker.com/engine/userguide/networking/default_network/containe,https://fralef.me/docker-and-iptables.html"
2.5,2.4,Docker守护程序配置,确保不使用不安全的镜像仓库（Scored）,Docker将私有仓库分为安全和不安全两种类型。默认情况下，仓库被视为安全的。,"运行docker info或执行以下命令，以查明是否使用了任何不安全的仓库：
`ps -ef | grep dockerd`
 请确保--insecure-registry参数不存在。",请不要使用任何不安全的镜像仓库。例如，不要像下面这样启动Docker守护进程：dockerd --insecure-registry 10.1.0.0/16。,https://docs.docker.com/registry/insecure/
2.6,2.5,Docker守护程序配置,确保不使用aufs存储驱动程序（Scored）,请不要将aufs作为您的Docker实例的存储驱动程序。,"执行以下命令并验证aufs是否未用作存储驱动程序 `docker info | grep -e ""^Storage Driver:\s*aufs\s*$"" `以上命令不应返回任何内容。",请不要直接使用aufs作为存储驱动程序。例如，不要像下面这样启动Docker守护进程：dockerd --storage-driver aufs。,"https://docs.docker.com/engine/userguide/storagedriver/selectadriver/#support,https://docs.docker.com/engine/userguide/storagedriver/"
2.7,2.6,Docker守护程序配置,确保已配置 Docker 守护进程的 TLS 身份验证（Scored）,可以让Docker守护进程监听特定的IP和端口，以及除默认Unix套接字以外的任何其他Unix套接字。配置TLS身份验证，通过IP和端口限制对Docker守护进程的访问。,`ps -ef | grep dockerd` 确保存在以下参数：'--tlsverify --tlscacert --tlscert --tlskey',请按照Docker文档或其他参考资料中提到的步骤进行操作。,https://docs.docker.com/engine/security/https/
2.8,2.7,Docker守护程序配置,确保默认的 ulimit 被适当地配置（Not Scored）,在您的环境中，将默认的ulimit选项设置为合适的选项。,`ps -ef | grep dockerd` 确保--default-ulimit参数设置为适当的。,以守护进程模式运行Docker，并传递--default-ulimit参数及相应的限制值适用于您的环境。例如，dockerd --default-ulimit nproc=1024:2048 --default-ulimit nofile=100:200。,https://docs.docker.com/edge/engine/reference/commandline/dockerd/#default-ulimits
2.9,2.8,Docker守护程序配置,启用用户命名空间支持（Scored）,在Docker守护进程中启用用户命名空间支持，以利用容器用户到主机用户的重新映射。如果您使用的容器中没有明确定义的容器用户，则此建议很有用。如果您使用的容器映像具有预定义的非root用户，则可以跳过此建议，因为此功能仍处于初期阶段，可能会带来不可预测的问题和复杂性。,"`ps -p $(docker inspect --format='{{ .State.Pid }}' <CONTAINER ID>) -o pid,user` 上面的命令将找到容器的PID，然后列出与容器进程相关联的主机用户。如果容器进程以root身份运行，则此建议不符合要求。 或者，您可以运行`docker info`以确保`userns`在`Security Options`下：`docker info --format '{{ .SecurityOptions }}'`","请查看Docker文档，根据您的需求可以有多种配置方法。由于不同平台可能存在差异，例如在Red Hat上，子UID和子GID映射创建不会自动工作。您可能需要创建自己的映射。 但是，高级步骤如下：

**步骤1：** 确保文件/etc/subuid和/etc/subgid存在。 touch /etc/subuid /etc/subgid 

**步骤2：** 使用--userns-remap标志启动docker守护进程。 dockerd --userns-remap=default","https://docs.docker.com/engine/reference/commandline/dockerd/#daemon-user-namespace-options,http://events.linuxfoundation.org/sites/events/files/slides/User%20Namespaces%20-%20ContainerCon%202015%20-%2016-9-final_0.pdf"
2.1,2.9,Docker守护程序配置,确保默认cgroup使用已经确认（Scored）,"其中--cgroup-parent选项允许您设置所有容器使用的默认cgroup父级。如果没有特定的使用情况,则应将此设置保持默认状态。",默认设置足够好，可以保持原样。如果您想专门设置一个非默认的cgroup，请在启动它时将--cgroup参数传递给docker守护进程。例如，`dockerd --cgroup-parent=/foobar`,默认设置已经足够好了，可以保持不变。如果您想要设置一个特定的非默认的cgroup，则在启动docker守护进程时，可以通过--cgroup-parent参数进行设置。例如，dockerd --cgroup-parent=/foobar。,https://docs.docker.com/engine/reference/commandline/dockerd/#default-cgroup-parent
2.11,2.1,Docker守护程序配置,确保基础设备大小在不需要时不要更改（Scored）,在某些情况下，您可能需要容器大小大于10G。在这些情况下，请仔细选择基础设备的大小。,`ps -ef | grep dockerd` 执行上面的命令，它不应该显示任何--storage-opt dm.basesize 参数。,请勿在不需要的情况下设置 --storage-opt dm.basesize。,https://docs.docker.com/engine/reference/commandline/dockerd/#storage-driver-options
2.12,2.11,Docker守护程序配置,确保启用了 Docker 客户端命令的授权 （Scored）,使用原生Docker授权插件或第三方授权机制来管理对Docker客户端命令的访问权限。,`ps -ef | grep dockerd` 如果使用docker本机授权，请确保--authorization插件参数设置适当。 `docker search hello-world`  确保docker守护进程需要授权才能执行上述命令。,步骤1：安装/创建授权插件。步骤2：根据需要配置授权策略。步骤3：按以下方式启动docker守护程序：dockerd --authorization-plugin=<PLUGIN_ID>。,"https://docs.docker.com/engine/reference/commandline/dockerd/#access-authorization,https://docs.docker.com/engine/extend/plugins_authorization/,https://github.com/twistlock/authz"
2.13,2.12,Docker守护程序配置,确保已配置集中式和远程日志记录（Scored）,Docker现在支持各种日志驱动程序。存储日志的首选方式应支持集中式和远程日志记录。,运行docker info并确保Logging Driver属性设置为适当的。`docker info --format '{{ .LoggingDriver }}'` 或者，如果已配置，下面的命令将为您提供--log驱动程序设置。确保设置为适当。 `ps -ef | grep dockerd`,"步骤1：按照文档设置所需的日志驱动程序。 
步骤2：使用该日志驱动程序启动Docker守护程序。例如，dockerd --log-driver=syslog --log-opt syslog-address=tcp://192.xxx.xxx.xxx。",https://docs.docker.com/engine/admin/logging/overview/
,2.13,Docker守护程序配置,确保 docker registry v1 的操作已禁用（Scored）,最新的 Docker registry是v2版。对于v1版本的传统注册表进行的所有操作都应受到限制。,`ps -ef | grep dockerd` 上面的命令应该将--disable-legacy-registry参数传递给docker守护进程的选项。,请执行以下命令启动Docker守护程序：dockerd --disable-legacy-registry。,"https://docs.docker.com/edge/engine/reference/commandline/dockerd/#legacy-registries,https://docs.docker.com/registry/spec/api/,https://the.binbashtheory.com/creating-private-docker-registry-2-0-with-token-authentication-service/,https://blog.docker.com/2015/07/new-tool-v1-registry-docker-trusted-registry-v2-open-source/,http://www.slideshare.net/Docker/docker-registry-v2"
2.15,2.14,Docker守护程序配置,确保已启用实时恢复（Scored）,"其中--live-restore选项使得Docker完全支持无守护进程的容器。它确保Docker在关闭或还原时不停止容器,并在容器重启时正确地重新连接到容器。",运行docker info 并确保Live Restore Enabled属性设置为true。 `docker info --format '{{ .LiveRestoreEnabled }}' ` 或者，运行以下命令并确保使用  --live-restore: `ps -ef | grep dockerd`,以守护进程模式运行Docker，并将--live-restore作为参数传递。例如，dockerd --live-restore。,https://docs.docker.com/engine/admin/live-restore/
2.16,2.15,Docker守护程序配置,确保用户区代理被禁用（Scored）,每当暴露端口时，Docker守护程序会启动用户空间代理服务以进行端口转发。当支持Hairpin NAT时，这个服务通常是多余的并可以禁用。,`ps -ef | grep dockerd`  请确保--userland-proxy参数设置为false。,请以以下方式运行Docker守护进程： dockerd --userland-proxy=false,"https://github.com/docker/docker/issues/14856,https://github.com/docker/docker/issues/22741,https://docs.docker.com/engine/userguide/networking/default_network/binding/"
2.17,2.16,Docker守护程序配置,确保必要时应用守护程序自定义seccomp策略（Not Scored）,如果需要，您可以选择在守护进程级别应用自定义的seccomp配置文件，并覆盖Docker的默认seccomp配置文件。,运行以下命令并查看`Security Options`部分中列出的`seccomp`配置文件。如果它是默认的，那意味着Docker的默认seccomp配置文件将被应用。`docker info --format '{{ .SecurityOptions }}'`,默认情况下，Docker应用的是默认的seccomp配置文件。如果这符合你的环境要求，无需采取任何措施。或者，你可以选择应用自己的seccomp配置文件，在守护进程启动时使用--seccomp-profile标志或将其放入守护进程运行时参数文件中。 dockerd --seccomp-profile </path/to/seccomp/profile>。,"https://docs.docker.com/engine/security/seccomp/,https://github.com/docker/docker/pull/26276"
2.18,2.17,Docker守护程序配置,确保在生产环境中避免使用实验性功能（Scored）,在生产环境中要避免使用实验性功能。,运行以下命令，并确保在Server部分中将Experimental属性设置为false。 `docker version --format '{{ .Server.Experimental }}'`,请勿将--experimental作为运行时参数传递给docker守护程序。,https://docs.docker.com/edge/engine/reference/commandline/dockerd/#options
2.14,2.18,Docker守护程序配置,确保容器被限制不获取新权限 （Scored）,默认情况下，限制容器通过suid或sgid位获得额外权限。,`ps -ef | grep dockerd` 请确保-no-new-privileges参数存在并且未设置为false。,请按照以下方式启动Docker守护进程：dockerd --no-new-privileges,"https://github.com/moby/moby/pull/29984,https://github.com/moby/moby/pull/20727"
3.1,3.1,Docker守护进程配置文件,确保docker.service文件的所有权设置为root:root（Scored）,请核实docker.service文件的所有权和组所有权是否正确设置为root。,步骤1:查找文件位置：`systemctl show -p FragmentPath docker.service` 步骤2：如果文件不存在，则此建议不适用。如果文件存在，请使用正确的文件路径执行以下命令，以验证文件是否由root拥有和组拥有。例如，`stat -c %U:%G /usr/lib/systemd/system/docker.service | grep -v root:root`以上命令不应返回任何内容。,"步骤1：查找文件位置：systemctl show -p FragmentPath docker.service 
步骤2：如果文件不存在，则无需执行此建议。如果文件存在，请使用正确的文件路径执行以下命令，将文件所有权和组所有权设置为root。例如，chown root：root /usr/lib/systemd/system/docker.service。",https://docs.docker.com/engine/admin/systemd/
3.2,3.2,Docker守护进程配置文件,确保docker.service文件的权限设置为644或更高限制 （Scored）,请确认docker.service 文件的权限设置为644或更严格。,步骤1:查找文件位置：`systemctl show -p FragmentPath docker.service`步骤2: 如果文件不存在，则此建议不适用。如果文件存在，请使用正确的文件路径执行以下命令，以验证文件权限是否设置为644或更严格。例如，`stat -c %a /usr/lib/systemd/system/docker.service`,"步骤 1：找到文件所在位置：systemctl show -p FragmentPath docker.service

步骤 2：如果文件不存在，则此建议不适用。如果文件存在，则请使用正确的文件路径执行以下命令，将文件权限设置为 644。例如，chmod 644 /usr/lib/systemd/system/docker.service。",https://docs.docker.com/articles/systemd/
3.3,3.3,Docker守护进程配置文件,确保docker.socket文件的所有权设置为root:root（Scored）,请确认docker.socket文件的所有者和组所有权已正确设置为root。,步骤1:查找文件位置：`systemctl show -p FragmentPath docker.socket`步骤2:如果该文件不存在，则此建议不适用。如果该文件存在，请使用正确的文件路径执行以下命令，以验证该文件是否由root拥有和组拥有。例如，`stat -c %U:%G /usr/lib/systemd/system/docker.socket | grep -v root:root`上述命令不应返回任何东西。,"步骤一：查找文件的位置：systemctl show -p FragmentPath docker.socket  
步骤二：如果文件不存在，则此建议不适用。如果文件存在，则使用正确的文件路径执行以下命令，将文件的所有权和组所有权设置为root。例如，chown root:root /usr/lib/systemd/system/docker.socket。","https://docs.docker.com/engine/reference/commandline/dockerd/#daemon-socket-option,https://github.com/docker/docker-ce/blob/master/components/packaging/deb/systemd/docker.socket"
3.4,3.4,Docker守护进程配置文件,确保 docker.socket 文件的权限设置为 644 或更严格的权限（Scored）,请确认 docker.socket 文件的权限设置正确，应为 644 或更高权限。,步骤1:查找文件位置：`systemctl show -p FragmentPath docker.socket`步骤2:如果文件不存在，则此建议不适用。如果文件存在，请使用正确的文件路径执行以下命令，以验证文件权限是否设置为644或更严格。例如，`stat -c %a /usr/lib/systemd/system/docker.socket`,"步骤1：找到文件位置：systemctl show -p FragmentPath docker.socket

步骤2：如果文件不存在，则无需执行此步骤。如果文件存在，请使用正确的文件路径执行以下命令将文件权限设置为644。例如，chmod 644 /usr/lib/systemd/system/docker.socket。","https://docs.docker.com/engine/reference/commandline/dockerd/#bind-docker-to-another-hostport-or-a-unix-socket,https://github.com/YungSang/fedora-atomic-packer/blob/master/oem/docker.socket,http://daviddaeschler.com/2014/12/14/centos-7rhel-7-and-docker-containers-on-boot/"
3.5,3.5,Docker守护进程配置文件,确保 /etc/docker 目录所有权设置为 root:root（Scored）,请确认 /etc/docker 目录的所有权和组所有权已正确设置为 root。,执行以下命令以验证目录是否为root所有和组所有：`stat -c %U:%G /etc/docker | grep -v root:root`以上命令不应返回任何内容。,运行 chown root:root /etc/docker  这条命令的作用是将目录的所有者和组所有者设置为root。,https://docs.docker.com/engine/security/https/
3.6,3.6,Docker守护进程配置文件,确保/etc/docker目录的权限设置为755或更高（Scored）,验证 /etc/docker 目录权限是否正确设置为755或更加严格的权限。,执行以下命令以验证目录是否具有755或更严格的权限：`stat -c %a /etc/docker`,执行 chmod 755 /etc/docker 这会将目录的权限设置为755。,https://docs.docker.com/engine/security/https/
3.7,3.7,Docker守护进程配置文件,确保注册表证书文件的所有权已设置为root:root（Scored）,请确认所有注册表证书文件(通常位于/etc/docker/certs.d/<registry-name>目录下)的所有者和群组都是root。,执行以下命令以验证注册表证书文件是否由root拥有和组拥有：`stat -c %U:%G /etc/docker/certs.d/* | grep -v root:root`以上命令不应返回任何内容。,运行 chown root:root /etc/docker/certs.d/<registry-name>/*  这条命令的作用是将存储在/etc/docker/certs.d/<registry-name>目录下的注册表证书文件的所有权和组所有权设置为root用户。,https://docs.docker.com/registry/insecure/
3.8,3.8,Docker守护进程配置文件,请确保注册表证书文件的权限设置为444或更加限制性的权限（Scored）,请确认所有的注册表证书文件（通常在 /etc/docker/certs.d/<registry-name> 目录下）的权限为444或更加严格。,执行以下命令以验证仓库证书文件是否具有444或更严格的权限：`stat -c %a /etc/docker/certs.d/<registry-name>/*`,运行 chmod 444 /etc/docker/certs.d/<registry-name>/*  这条命令的作用是将注册表证书文件的权限设置为444。,https://docs.docker.com/registry/insecure/
3.9,3.9,Docker守护进程配置文件,请确保TLS CA证书文件的所有权被设置为root:root（Scored）,请验证TLS CA证书文件（与--tlscacert参数一起传递的文件）是否由root拥有并归属于root组。,“执行以下命令以验证TLS CA证书文件是否由root拥有和组拥有：`stat -c %U:%G <path to TLS CA certificate file> | grep -v root:root`以上命令不应返回任何内容。,运行 chown root:root <path to TLS CA certificate file> 这个命令的作用是将TLS CA证书文件的所有权和组所有权设置为root。,"https://docs.docker.com/registry/insecure/,https://docs.docker.com/engine/security/https/"
3.1,3.1,Docker守护进程配置文件,确保TLS CA证书文件的权限设置为444或更严格（Scored）,请确认 TLS CA 证书文件（在 --tlscacert 参数中传递的文件）具有 444 或更严格的权限。,执行以下命令以验证TLS CA证书文件是否具有444或更严格的权限：`stat -c %a <path to TLS CA certificate file>`,运行 chmod 444 <path to TLS CA certificate file> 此命令将TLS CA证书文件的文件权限设置为444。,"https://docs.docker.com/registry/insecure/,https://docs.docker.com/engine/security/https/"
3.11,3.11,Docker守护进程配置文件,确保 Docker 服务证书文件的所有权被设置为 root:root（Scored）,请验证Docker服务器证书文件（与--tlscert参数一起传递的文件）是否由root用户拥有并且所属组也是root。,执行以下命令以验证Docker服务器证书文件是否由root拥有和组拥有：`stat -c %U:%G <path to Docker server certificate file> | grep -v root:root`以上命令不应返回任何内容。,运行 chown root:root <path to Docker server certificate file>  这条指令将Docker服务器证书文件的所有权和组所有权设置为root。,"https://docs.docker.com/registry/insecure/,https://docs.docker.com/engine/security/https/"
3.12,3.12,Docker守护进程配置文件,确保Docker服务器证书文件的权限设置为444或更严格（Scored）,请核实Docker服务器证书文件（通过--tlscert参数传递的文件）是否具有444或更严格的权限。,执行以下命令以验证Docker服务器证书文件是否具有444或更严格的权限：`stat -c %a <path to Docker server certificate file>`,运行 chmod 444 <path to Docker server certificate file>  这条命令的作用是将 Docker 服务器证书文件的文件权限设置为 444。,"https://docs.docker.com/registry/insecure/,https://docs.docker.com/engine/security/https/"
3.13,3.13,Docker守护进程配置文件,确保 Docker 服务器证书密钥文件的所有权设置为root:root（Scored）,请确认Docker服务器证书密钥文件（通过--tlskey参数传递的文件）的拥有者和所属组都是root。,执行以下命令以验证Docker服务器证书密钥文件是否为root所有和group所有: `stat -c %U:%G <path to Docker server certificate key file> | grep -v root:root` 上述命令不应返回任何内容。,运行 chown root:root <path to Docker server certificate key file>  此命令将 Docker 服务器证书密钥文件的所有权和所属组设置为 root。,"https://docs.docker.com/registry/insecure/,https://docs.docker.com/engine/security/https/"
3.14,3.14,Docker守护进程配置文件,确保Docker服务器证书密钥文件的权限设置为400（Scored）,请确认Docker服务器证书密钥文件（通过--tlskey参数传递的文件）拥有400权限。,执行以下命令以验证Docker服务器证书密钥文件是否具有400的权限：`stat -c %a <path to Docker server certificate key file>`,运行 chmod 400 <path to Docker server certificate key file> 这条命令是将Docker服务器证书密钥文件的权限设置为400。请执行该命令。,"https://docs.docker.com/registry/insecure/,https://docs.docker.com/engine/security/https/"
3.15,3.15,Docker守护进程配置文件,确保Docker套接字文件的所有权设置为root:docker（Scored）,请确认Docker套接字文件的所有者为root，组所有者为docker。,执行以下命令以验证Docker套接字文件是否由root和Docker拥有的组所有：`stat -c %U:%G /var/run/docker.sock | grep -v root:docker`以上命令不应返回任何内容。,运行 chown root:docker /var/run/docker.sock 这条命令的作用是将默认Docker套接字文件的所有权设置为root，组所有权设置为docker。,"https://docs.docker.com/engine/reference/commandline/dockerd/#daemon-socket-option,https://docs.docker.com/engine/reference/commandline/dockerd/#bind-docker-to-another-hostport-or-a-unix-socket"
3.16,3.16,Docker守护进程配置文件,确保Docker套接字文件的权限设置为660或更高限制（Scored）,请确认Docker套接字文件具有660或更高权限限制。,执行以下命令以验证Docker套接字文件是否具有660或更严格的权限：`stat -c %a /var/run/docker.sock`,运行 chmod 660 /var/run/docker.sock 这将把Docker套接字文件的文件权限设置为660。,"https://docs.docker.com/engine/reference/commandline/dockerd/#daemon-socket-option,https://docs.docker.com/engine/reference/commandline/dockerd/#bind-docker-to-another-hostport-or-a-unix-socket"
3.17,3.17,Docker守护进程配置文件,确保 daemon.json 文件的所有权设置为 root:root（Scored）,请确认 daemon.json 文件的所有权和组所有权是否正确设置为 root。,执行以下命令以验证文件是否为root所有和组所有：`stat -c %U:%G /etc/docker/daemon.json | grep -v root:root`以上命令不应返回任何内容。,运行 chown root:root /etc/docker/daemon.json 这个命令将会把文件的所有权和组的所有权设置为root。,https://docs.docker.com/engine/reference/commandline/dockerd/#daemon-configuration-file
